source_file,row_type,year,branch,period,period_type,month_number,sales_amount
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,april,month,4,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,may,month,5,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,june,month,6,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,july,month,7,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,august,month,8,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,september,month,9,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,october,month,10,2624897.9
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,november,month,11,4122138.15
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,december,month,12,3551489.5
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,total_by_year,year_total,,10298525.55
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,january,month,1,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,february,month,2,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,march,month,3,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,april,month,4,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,may,month,5,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,june,month,6,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,july,month,7,4504179.49
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,august,month,8,5532578.53
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,september,month,9,3970129.99
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,october,month,10,3313013.33
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,november,month,11,2948339.91
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,december,month,12,3173568.29
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,total_by_year,year_total,,23441809.54
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,january,month,1,1747977.87
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,february,month,2,1387090.33
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,march,month,3,1436257.67
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,april,month,4,2105139.33
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,may,month,5,1195236.33
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,june,month,6,449746.67
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,july,month,7,3417793.41
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,august,month,8,3481408.42
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,september,month,9,2989974.79
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,october,month,10,2764180.79
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,november,month,11,2465933.34
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,december,month,12,1695655.86
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,total_by_year,year_total,,25136394.81
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,january,month,1,10449006.67
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,february,month,2,8417640.0
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,march,month,3,10840106.67
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,april,month,4,11182530.0
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,may,month,5,6433973.33
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,june,month,6,2504900.0
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,july,month,7,10265530.04
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,august,month,8,10774439.35
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,september,month,9,9882169.98
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,october,month,10,9775939.95
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,november,month,11,8876666.37
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,december,month,12,8566291.9
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,total_by_year,year_total,,107969194.27
REP_S_00134_SMRY.csv,branch,2025,Stories.,january,month,1,2190006.67
REP_S_00134_SMRY.csv,branch,2025,Stories.,february,month,2,2527096.67
REP_S_00134_SMRY.csv,branch,2025,Stories.,march,month,3,2385366.67
REP_S_00134_SMRY.csv,branch,2025,Stories.,april,month,4,3555273.33
REP_S_00134_SMRY.csv,branch,2025,Stories.,may,month,5,2024430.0
REP_S_00134_SMRY.csv,branch,2025,Stories.,june,month,6,923133.33
REP_S_00134_SMRY.csv,branch,2025,Stories.,july,month,7,300556.67
REP_S_00134_SMRY.csv,branch,2025,Stories.,august,month,8,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories.,september,month,9,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories.,october,month,10,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories.,november,month,11,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories.,december,month,12,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories.,total_by_year,year_total,,13905863.33
REP_S_00134_SMRY.csv,grand_total,2025,Total,january,month,1,67369943.87
